Gen	No. de genes que regula	Genes regulados	Efecto
fis	242	acnB, acs, actP, adhE, alaT, alaU, alaV, alaW, alaX, aldB, ansB, apaG, apaH, argU, argW, argX, aspV, bglB, bglF, bglG, carA, carB, cbpA, cbpM, crp, cspA, cspI, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, dnaA, dnaN, dps, dusB, fadA, fadB, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flxA, fumB, gadA, gadB, gadC, gadX, glcC, glnA, glnG, glnL, glnQ, glnU, glnV, glnW, glnX, glnZ, glpA, glpB, glpC, glpQ, glpT, gltT, gltU, gltV, gltW, gltX, glyT, glyU, grcA, guaA, guaB, gyrA, gyrB, hisR, hlyE, hns, hupA, hupB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, ileT, ileU, ileV, infB, katE, leuP, leuQ, leuT, leuV, leuW, leuX, lpd, lysT, lysV, lysW, malE, malF, malG, malH, marA, marB, marR, mazE, mazF, mazG, metT, metU, metY, mglA, mglC, msrA, mtlA, mtlD, mtlR, nanA, nanE, nanK, nanQ, nanT, narG, narH, narI, narJ, narK, narS, nirB, nirC, nirD, nrdA, nrdB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nusA, ogt, osmE, osmY, pdxA, pflB, pheU, pheV, pnp, proK, proL, proM, proP, pyrD, queA, rbfA, recF, rimP, rplM, rpsI, rpsO, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsmA, serT, serX, sra, thrT, thrU, thrV, thrW, tolB, tpr, trg, trmA, truB, tufB, tyrT, tyrU, tyrV, valT, valU, valX, valY, xylF, xylG, xylH, xylR, yeaR, yfaE, yjcH, yoaG, yodD	Dual
flhD;flhC	93	aceB, adhE, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, clsC, csgC, epd, flgA, flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ, flgM, flgN, flhA, flhB, flhE, fliA, fliD, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliL, fliM, fliN, fliO, fliP, fliQ, fliR, fliS, fliT, fliZ, fruB, glpA, glpB, glpC, gltI, gltJ, gltK, gltL, hydN, hypF, iclR, mdh, mglA, mglB, mglC, napA, napB, napC, napD, napF, napG, napH, nfrB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pdeH, pfkA, ppdA, ppdB, ppdC, ptsH, recC, setB, sroC, tcyJ, ycgR, yecR, ygbK, ygdB, ymdA, ymdB	Dual
fliX	12	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS	Dual
fliZ	22	csgA, csgB, csgC, csgD, csgE, csgF, csgG, flhC, flhD, gadB, gadC, gadE, gadF, hdeA, hdeB, mdtE, mdtF, mlrA, osmY, pdeR, yhiD, yjbJ	Dual
fnr	310	ackA, acnA, acrE, acrF, adhE, aer, aldA, ansB, argK, aroP, aspA, aspX, b0725, bcsB, bcsZ, bidA, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, ccp, cheB, cheR, cheY, cheZ, citC, citD, citE, citF, citG, citX, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dcuA, dcuB, dcuC, dcuR, dcuS, dmsA, dmsB, dmsC, dmsD, dpiA, dpiB, dppA, dppB, dppC, dppD, dppF, emrK, emrY, entF, fdhF, feoA, feoB, feoC, fepE, fes, fhlA, fixA, fixB, fixC, fixX, fnrS, focA, focB, frdA, frdB, frdC, frdD, fumA, fumB, fumC, gadA, gadW, gadX, gapC, garD, garK, garL, garP, garR, gcvH, gcvP, gcvT, gdhA, glpA, glpB, glpC, glpQ, glpT, gltB, gltD, gltF, gnd, gndA, hcp, hcr, hemA, hlyE, hmp, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypB, hypC, hypD, hypE, idlP, iraD, iraM, katG, malP, malQ, metV, mltA, moaA, moaB, moaC, moaD, moaE, moeA, moeB, msrB, nac, napA, napB, napC, napD, napF, napG, napH, narG, narH, narI, narJ, narK, narL, narS, narX, ndh, nfeR, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, norV, norW, nrdD, nrdG, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompX, ortT, pdeF, pepT, pflB, pheM, phoU, pitA, poxB, prfA, prmC, pstA, pstB, pstC, pstS, purM, purN, puuA, puuP, pykA, ravA, rimM, rnpB, rplB, rplC, rplD, rplM, rplP, rplS, rplT, rplV, rplW, rpmC, rpsC, rpsI, rpsJ, rpsP, rpsQ, rpsS, scpA, scpB, scpC, sdhA, sdhB, sdhC, sdhD, sdhX, sodA, soxR, soxS, ssuA, ssuB, ssuC, ssuD, ssuE, sucA, sucB, sucC, sucD, tap, tar, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, thrA, tpx, trmD, ubiA, ubiC, ung, upp, uraA, uxaA, uxaC, viaA, xdhA, xdhB, xdhC, ybdN, ybdZ, ycaC, ychO, ydeJ, ydfO, ydfZ, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yecR, yeiL, yfcZ, yffS, ygbA, yibN, ymjE, ynfE, ynfF, ynfG, ynfH, ysgA, ytfE, zwf	Dual
fnrS	20	azuC, azuR, cydC, cydD, folE, folX, glpD, gpmA, iscR, maeA, marA, metE, sodA, sodB, yebY, yebZ, yeiB, yfcH, yieP, yobA	Dual
frlR	5	frlA, frlB, frlC, frlD, frlR	Dual
frmR	3	frmA, frmB, frmR	Dual
fucR	7	fucA, fucI, fucK, fucO, fucP, fucR, fucU	Dual
fur	269	acnA, actP, adhP, adk, ansB, araB, araF, argF, argG, argR, aspC, b0725, bfd, bfr, bglJ, bssR, cadC, cirA, cusC, cyoA, cyoB, cyoC, cyoD, cyoE, dapB, dinB, dkgA, dmsA, dmsB, dmsC, dppB, dppC, dppD, dppF, eamA, efeB, efeO, efeU, entA, entB, entC, entD, entE, entF, entH, erpA, esrE, exbB, exbD, fecA, fecB, fecC, fecD, fecE, fecI, fecR, feoA, feoB, feoC, fepA, fepB, fepC, fepD, fepE, fepG, fes, fhuA, fhuB, fhuC, fhuD, fhuE, fhuF, fiu, flgL, flhC, flhD, fnr, ftnA, ftnB, fumB, fumC, fur, garK, garL, garP, garR, glnD, glnG, glnL, glpF, glpK, gltB, gltD, gltF, gnd, gndA, gpmA, gpr, grcA, grxB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hcaR, hmp, hscA, hybO, katE, katG, leuD, lysP, maeB, manX, manY, manZ, map, mdh, mdtL, metH, metJ, mglB, mntH, mntP, mntS, moaA, mocA, mqo, nac, narQ, narU, ndh, nfeF, nfeR, nohA, nrdE, nrdF, nrdH, nrdI, nth, ompF, ompW, oppA, oppB, oppC, oppD, ortT, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pdeF, pepE, phoH, pqqU, pstB, punC, purL, purR, pyrC, qorA, rcnA, rcnB, recN, rimK, rimO, rmf, rmuC, rnpB, rpoS, rsd, rsxA, rsxB, rsxC, rsxD, rsxE, rsxG, ryhB, sdhX, sdiA, selO, serS, sodA, soxR, soxS, sseB, stfQ, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, sulA, tauA, tauB, tauC, tcyN, tfaQ, tisB, tqsA, tsx, udp, ugpA, ugpB, ugpE, uxaB, uxaC, uxuA, uxuB, waaL, xynR, ybaN, ybdZ, ybiU, ybiX, ycgR, yciI, ydcF, yddA, yddB, ydeN, ydiE, yejG, yfcV, ygaC, yghF, yghW, yhcC, yhhY, yhjE, yihN, yihX, yjbJ, yjcH, yjiR, yjiT, yjjZ, yncE, ynfD, yobD, yoeA, yojI, yqeB, yqeC, yqhD, yrbL, zapB, zinT, zwf	Dual
